index,pets,dogs,cats
22515,likes dogs and likes cats,like,like
22516,no importance,no importance,no importance
22517,no importance,no importance,no importance
22518,no importance,no importance,no importance
22519,no importance,no importance,no importance
22520,likes cats,no importance,like
22521,has dogs and likes cats,own,like
22522,no importance,no importance,no importance
22523,has dogs and has cats,own,own
22524,no importance,no importance,no importance
22525,likes dogs and has cats,like,own
22526,likes dogs,like,no importance
22527,no importance,no importance,no importance
22528,no importance,no importance,no importance
22529,has dogs,own,no importance
22530,likes dogs,like,no importance
22531,likes dogs and has cats,like,own
22532,has dogs,own,no importance
22533,likes dogs,like,no importance
22534,likes dogs and has cats,like,own
22535,likes dogs and likes cats,like,like
22536,no importance,no importance,no importance
22537,no importance,no importance,no importance
22538,no importance,no importance,no importance
22539,likes dogs and likes cats,like,like
22540,likes dogs and likes cats,like,like
22541,no importance,no importance,no importance
22542,likes dogs and likes cats,like,like
22543,likes dogs and likes cats,like,like
22544,likes dogs and likes cats,like,like
22545,no importance,no importance,no importance
22546,no importance,no importance,no importance
22547,likes dogs and likes cats,like,like
22548,likes dogs and likes cats,like,like
22549,no importance,no importance,no importance
22550,likes dogs and likes cats,like,like
22551,likes dogs and likes cats,like,like
22552,has dogs and has cats,own,own
22553,has dogs and likes cats,own,like
22554,has cats,no importance,own
22555,likes dogs and likes cats,like,like
22556,no importance,no importance,no importance
22557,no importance,no importance,no importance
22558,likes dogs,like,no importance
22559,has dogs,own,no importance
22560,has dogs,own,no importance
22561,likes dogs and likes cats,like,like
22562,likes dogs and has cats,like,own
22563,no importance,no importance,no importance
22564,no importance,no importance,no importance
22565,likes dogs and likes cats,like,like
22566,likes dogs and likes cats,like,like
22567,has cats,no importance,own
22568,no importance,no importance,no importance
22569,likes dogs,like,no importance
22570,likes dogs and has cats,like,own
22571,likes dogs and likes cats,like,like
22572,no importance,no importance,no importance
22573,no importance,no importance,no importance
22574,no importance,no importance,no importance
22575,has cats,no importance,own
22576,likes dogs and has cats,like,own
22577,has dogs,own,no importance
22578,has dogs and likes cats,own,like
22579,likes dogs and likes cats,like,like
22580,likes dogs and has cats,like,own
22581,has dogs,own,no importance
22582,likes dogs and has cats,like,own
22583,no importance,no importance,no importance
22584,no importance,no importance,no importance
22585,likes dogs and likes cats,like,like
22586,no importance,no importance,no importance
22587,no importance,no importance,no importance
22588,likes dogs,like,no importance
22589,has dogs and likes cats,own,like
22590,has dogs and likes cats,own,like
22591,no importance,no importance,no importance
22592,likes dogs and likes cats,like,like
22593,no importance,no importance,no importance
22594,likes dogs,like,no importance
22595,likes dogs and likes cats,like,like
22596,likes dogs and likes cats,like,like
22597,likes cats,no importance,like
22598,has dogs,own,no importance
22599,likes dogs,like,no importance
22600,no importance,no importance,no importance
22601,likes dogs,like,no importance
22602,no importance,no importance,no importance
22603,no importance,no importance,no importance
22604,likes dogs,like,no importance
22605,likes dogs and likes cats,like,like
22606,likes dogs and likes cats,like,like
22607,likes dogs and has cats,like,own
22608,likes dogs,like,no importance
22609,likes dogs and likes cats,like,like
22610,has dogs and likes cats,own,like
22611,likes dogs and likes cats,like,like
22612,no importance,no importance,no importance
22613,likes dogs and has cats,like,own
22614,no importance,no importance,no importance
22615,has dogs,own,no importance
22616,likes dogs and likes cats,like,like
22617,no importance,no importance,no importance
22618,has dogs and dislikes cats,own,like
22619,no importance,no importance,no importance
22620,no importance,no importance,no importance
22621,likes cats,no importance,like
22622,no importance,no importance,no importance
22623,has cats,no importance,own
22624,likes dogs and dislikes cats,like,like
22625,likes dogs and likes cats,like,like
22626,has dogs,own,no importance
22627,no importance,no importance,no importance
22628,no importance,no importance,no importance
22629,no importance,no importance,no importance
22630,no importance,no importance,no importance
22631,likes dogs,like,no importance
22632,likes dogs and likes cats,like,like
22633,likes dogs and has cats,like,own
22634,likes dogs and likes cats,like,like
22635,no importance,no importance,no importance
22636,likes dogs and likes cats,like,like
22637,likes dogs and likes cats,like,like
22638,no importance,no importance,no importance
22639,likes dogs and dislikes cats,like,like
22640,likes dogs and likes cats,like,like
22641,no importance,no importance,no importance
22642,likes dogs and dislikes cats,like,like
22643,likes dogs and likes cats,like,like
22644,likes dogs and dislikes cats,like,like
22645,no importance,no importance,no importance
22646,has dogs,own,no importance
22647,likes dogs and likes cats,like,like
22648,no importance,no importance,no importance
22649,no importance,no importance,no importance
22650,likes dogs and has cats,like,own
22651,likes dogs and likes cats,like,like
22652,likes dogs and likes cats,like,like
22653,has dogs,own,no importance
22654,likes dogs and likes cats,like,like
22655,has dogs,own,no importance
22656,no importance,no importance,no importance
22657,no importance,no importance,no importance
22658,likes dogs and dislikes cats,like,like
22659,likes dogs,like,no importance
22660,likes dogs and has cats,like,own
22661,likes dogs and dislikes cats,like,like
22662,likes dogs,like,no importance
22663,likes dogs and likes cats,like,like
22664,no importance,no importance,no importance
22665,likes dogs,like,no importance
22666,no importance,no importance,no importance
22667,likes dogs and dislikes cats,like,like
22668,no importance,no importance,no importance
22669,has dogs,own,no importance
22670,likes dogs and likes cats,like,like
22671,likes dogs and likes cats,like,like
22672,has cats,no importance,own
22673,likes dogs,like,no importance
22674,likes dogs and likes cats,like,like
22675,has cats,no importance,own
22676,dislikes dogs and likes cats,like,like
22677,no importance,no importance,no importance
22678,no importance,no importance,no importance
22679,likes dogs and likes cats,like,like
22680,has dogs and likes cats,own,like
22681,likes dogs and likes cats,like,like
22682,no importance,no importance,no importance
22683,no importance,no importance,no importance
22684,has dogs and likes cats,own,like
22685,no importance,no importance,no importance
22686,likes dogs and likes cats,like,like
22687,likes dogs and likes cats,like,like
22688,no importance,no importance,no importance
22689,no importance,no importance,no importance
22690,no importance,no importance,no importance
22691,likes dogs and likes cats,like,like
22692,no importance,no importance,no importance
22693,no importance,no importance,no importance
22694,dislikes dogs and dislikes cats,like,like
22695,no importance,no importance,no importance
22696,likes dogs and likes cats,like,like
22697,likes dogs,like,no importance
22698,has dogs,own,no importance
22699,no importance,no importance,no importance
22700,likes dogs and likes cats,like,like
22701,no importance,no importance,no importance
22702,no importance,no importance,no importance
22703,no importance,no importance,no importance
22704,likes dogs and likes cats,like,like
22705,has dogs,own,no importance
22706,no importance,no importance,no importance
22707,has cats,no importance,own
22708,likes dogs and likes cats,like,like
22709,no importance,no importance,no importance
22710,likes dogs and likes cats,like,like
22711,likes dogs and likes cats,like,like
22712,no importance,no importance,no importance
22713,likes dogs and likes cats,like,like
22714,no importance,no importance,no importance
22715,likes dogs and likes cats,like,like
22716,likes dogs and likes cats,like,like
22717,likes dogs and likes cats,like,like
22718,has dogs and dislikes cats,own,like
22719,likes dogs and has cats,like,own
22720,no importance,no importance,no importance
22721,has dogs and likes cats,own,like
22722,no importance,no importance,no importance
22723,has dogs,own,no importance
22724,no importance,no importance,no importance
