index,speaks,fluent,good
36598,"english (fluently), french (fluently), chinese (fluently), spanish (okay), portuguese (okay)","english, french, chinese","spanish, portuguese"
36599,"english (fluently), hindi (fluently), tamil (fluently)","english, hindi, tamil",
36600,english (fluently),english,
36601,english (fluently),english,
36602,"english (fluently), russian (okay)",english,russian
36603,english (fluently),english,
36604,english (fluently),english,
36605,english (fluently),english,
36606,"english (fluently), spanish (fluently)","english, spanish",
36607,english (fluently),english,
36608,,english,
36609,english (fluently),english,
36610,"english (fluently), hindi (okay)",english,hindi
36611,"english (fluently), spanish (okay)",english,spanish
36612,"english (fluently), spanish (fluently), portuguese (fluently), french (okay)","english, spanish, portuguese",french
36613,english (fluently),english,
36614,,english,
36615,"english (fluently), french (fluently), italian (okay)","english, french",italian
36616,english (fluently),english,
36617,english (fluently),english,
36618,"english (fluently), spanish, french",english,"spanish, french"
36619,english (fluently),english,
36620,english (fluently),english,
36621,"english (fluently), hindi (fluently)","english, hindi",
36622,english (fluently),english,
36623,"english (fluently), spanish (fluently)","english, spanish",
36624,english (fluently),english,
36625,english (fluently),english,
36626,english (fluently),english,
36627,english (fluently),english,
36628,english (fluently),english,
36629,english (fluently),english,
36630,english (fluently),english,
36631,english (okay),english,english
36632,"english (fluently), hindi (okay), other",english,hindi
36633,english (fluently),english,
36634,english (fluently),english,
36635,"english (fluently), french (okay), italian (fluently), spanish (fluently)","english, italian, spanish",french
36636,"english (fluently), hindi (okay), urdu (okay)",english,"hindi, urdu"
36637,english (fluently),english,
36638,"english (fluently), spanish (fluently), french (okay), norwegian (fluently)","english, spanish, norwegian",french
36639,,english,
36640,english (fluently),english,
36641,english (fluently),english,
36642,"english (fluently), tagalog (okay)",english,tagalog
36643,english (fluently),english,
36644,"english (fluently), spanish (okay)",english,spanish
36645,english (fluently),english,
36646,english (fluently),english,
36647,english (fluently),english,
36648,english (fluently),english,
36649,english (fluently),english,
36650,"english (fluently), french (okay)",english,french
36651,"english (fluently), chinese",english,chinese
36652,english (fluently),english,
36653,"english (fluently), chinese (okay)",english,chinese
36654,"english (fluently), hebrew (fluently)","english, hebrew",
36655,english (fluently),english,
36656,english (fluently),english,
36657,english (fluently),english,
36658,english (fluently),english,
36659,english (fluently),english,
36660,english (fluently),english,
36661,english (fluently),english,
36662,"english (fluently), russian (okay)",english,russian
36663,"english (fluently), russian (fluently)","english, russian",
36664,"english (fluently), hebrew (fluently), russian (fluently)","english, hebrew, russian",
36665,english (fluently),english,
36666,english (fluently),english,
36667,english (fluently),english,
36668,english (fluently),english,
36669,english (fluently),english,
36670,"english (fluently), dutch (okay)",english,dutch
36671,english (fluently),english,
36672,english (fluently),english,
36673,english (fluently),english,
36674,"english (fluently), spanish (okay)",english,spanish
36675,"english (fluently), french (okay)",english,french
36676,english (fluently),english,
36677,"english (fluently), spanish (okay)",english,spanish
36678,english (fluently),english,
36679,,english,
36680,english (fluently),english,
36681,english (fluently),english,
36682,english (fluently),english,
36683,english (fluently),english,
36684,english (fluently),english,
36685,"english (fluently), spanish (okay)",english,spanish
36686,english (fluently),english,
36687,english (okay),english,english
36688,english (fluently),english,
36689,"english (fluently), french (fluently)","english, french",
36690,english (fluently),english,
36691,english (fluently),english,
36692,english (fluently),english,
36693,"english (fluently), other",english,
36694,english (fluently),english,
36695,"english (fluently), spanish (okay)",english,spanish
36696,english (fluently),english,
36697,english (fluently),english,
36698,english (fluently),english,
36699,"english (fluently), chinese (okay)",english,chinese
36700,"english (fluently), hindi",english,hindi
36701,english (fluently),english,
36702,english (fluently),english,
36703,english (fluently),english,
36704,english (fluently),english,
36705,english (fluently),english,
36706,"english (fluently), spanish (okay)",english,spanish
36707,"english (fluently), spanish (okay)",english,spanish
36708,english (fluently),english,
36709,english (fluently),english,
36710,"english (fluently), chinese (fluently), french (okay), sign language (okay)","english, chinese","french, sign language"
36711,"english (fluently), russian",english,russian
36712,english (fluently),english,
36713,english (fluently),english,
36714,"english (fluently), french (okay)",english,french
36715,english (fluently),english,
36716,"english (fluently), lisp (okay)",english,lisp
36717,english (fluently),english,
36718,"english (fluently), spanish (okay), hebrew (fluently)","english, hebrew",spanish
36719,"english (fluently), spanish (okay)",english,spanish
36720,english (fluently),english,
36721,"english (fluently), spanish",english,spanish
36722,english (fluently),english,
36723,english (fluently),english,
36724,"english (fluently), chinese (fluently)","english, chinese",
36725,"english (fluently), c++ (okay)",english,c++
36726,"english (fluently), hindi (fluently)","english, hindi",
36727,english (fluently),english,
36728,english (fluently),english,
36729,english (fluently),english,
36730,"english (fluently), other (fluently)",english,
36731,english (fluently),english,
36732,english (fluently),english,
36733,english (fluently),english,
36734,"english (fluently), french (okay), indonesian (fluently)","english, indonesian",french
36735,english (fluently),english,
36736,english (fluently),english,
36737,english (fluently),english,
36738,english (fluently),english,
36739,english (fluently),english,
36740,"english (fluently), spanish (okay)",english,spanish
36741,english (fluently),english,
36742,english (fluently),english,
36743,english (fluently),english,
36744,english (fluently),english,
36745,english (fluently),english,
36746,english (fluently),english,
36747,english (fluently),english,
36748,"english (fluently), vietnamese (okay)",english,vietnamese
36749,english (fluently),english,
36750,"english (fluently), arabic, spanish",english,"arabic, spanish"
36751,english (fluently),english,
36752,english (fluently),english,
36753,english (fluently),english,
36754,"english (fluently), spanish (okay)",english,spanish
36755,english (fluently),english,
36756,english (fluently),english,
36757,english (fluently),english,
36758,"english (fluently), hindi (fluently), spanish (okay)","english, hindi",spanish
36759,"english (fluently), russian (okay), ancient greek (okay)",english,"russian, ancient greek"
36760,"english (fluently), italian (fluently)","english, italian",
36761,english (fluently),english,
36762,"english (fluently), chinese (okay)",english,chinese
36763,english (fluently),english,
36764,english (fluently),english,
