index,religion,religion_name,seriousness
22830,atheism,atheism,no importance
22831,rather not disclose,rather not disclose,no importance
22832,atheism,atheism,no importance
22833,rather not disclose,rather not disclose,no importance
22834,rather not disclose,rather not disclose,no importance
22835,judaism and laughing about it,judaism,laughing
22836,agnosticism but not too serious about it,agnosticism,not too serious
22837,rather not disclose,rather not disclose,no importance
22838,rather not disclose,rather not disclose,no importance
22839,rather not disclose,rather not disclose,no importance
22840,atheism,atheism,no importance
22841,catholicism but not too serious about it,catholicism,not too serious
22842,atheism,atheism,no importance
22843,agnosticism,agnosticism,no importance
22844,rather not disclose,rather not disclose,no importance
22845,other but not too serious about it,other,no importance
22846,agnosticism,agnosticism,no importance
22847,rather not disclose,rather not disclose,no importance
22848,rather not disclose,rather not disclose,no importance
22849,rather not disclose,rather not disclose,no importance
22850,christianity,christianity,no importance
22851,atheism and laughing about it,atheism,laughing
22852,rather not disclose,rather not disclose,no importance
22853,rather not disclose,rather not disclose,no importance
22854,atheism and very serious about it,atheism,very serious
22855,rather not disclose,rather not disclose,no importance
22856,rather not disclose,rather not disclose,no importance
22857,catholicism but not too serious about it,catholicism,not too serious
22858,other and laughing about it,other,no importance
22859,judaism but not too serious about it,judaism,not too serious
22860,agnosticism and somewhat serious about it,agnosticism,somewhat serious
22861,other and laughing about it,other,no importance
22862,rather not disclose,rather not disclose,no importance
22863,rather not disclose,rather not disclose,no importance
22864,agnosticism but not too serious about it,agnosticism,not too serious
22865,rather not disclose,rather not disclose,no importance
22866,rather not disclose,rather not disclose,no importance
22867,atheism and laughing about it,atheism,laughing
22868,agnosticism,agnosticism,no importance
22869,rather not disclose,rather not disclose,no importance
22870,rather not disclose,rather not disclose,no importance
22871,agnosticism,agnosticism,no importance
22872,atheism,atheism,no importance
22873,agnosticism,agnosticism,no importance
22874,rather not disclose,rather not disclose,no importance
22875,rather not disclose,rather not disclose,no importance
22876,rather not disclose,rather not disclose,no importance
22877,rather not disclose,rather not disclose,no importance
22878,other,other,no importance
22879,rather not disclose,rather not disclose,no importance
22880,rather not disclose,rather not disclose,no importance
22881,catholicism and laughing about it,catholicism,laughing
22882,rather not disclose,rather not disclose,no importance
22883,atheism and laughing about it,atheism,laughing
22884,agnosticism and laughing about it,agnosticism,laughing
22885,other but not too serious about it,other,no importance
22886,christianity but not too serious about it,christianity,not too serious
22887,christianity,christianity,no importance
22888,rather not disclose,rather not disclose,no importance
22889,rather not disclose,rather not disclose,no importance
22890,other,other,no importance
22891,other but not too serious about it,other,no importance
22892,judaism but not too serious about it,judaism,not too serious
22893,atheism,atheism,no importance
22894,catholicism but not too serious about it,catholicism,not too serious
22895,other and laughing about it,other,no importance
22896,rather not disclose,rather not disclose,no importance
22897,atheism and laughing about it,atheism,laughing
22898,rather not disclose,rather not disclose,no importance
22899,rather not disclose,rather not disclose,no importance
22900,rather not disclose,rather not disclose,no importance
22901,buddhism but not too serious about it,buddhism,not too serious
22902,judaism,judaism,no importance
22903,atheism,atheism,no importance
22904,atheism and laughing about it,atheism,laughing
22905,atheism and somewhat serious about it,atheism,somewhat serious
22906,rather not disclose,rather not disclose,no importance
22907,agnosticism but not too serious about it,agnosticism,not too serious
22908,rather not disclose,rather not disclose,no importance
22909,agnosticism and somewhat serious about it,agnosticism,somewhat serious
22910,agnosticism and laughing about it,agnosticism,laughing
22911,rather not disclose,rather not disclose,no importance
22912,atheism and somewhat serious about it,atheism,somewhat serious
22913,christianity and laughing about it,christianity,laughing
22914,rather not disclose,rather not disclose,no importance
22915,rather not disclose,rather not disclose,no importance
22916,other and laughing about it,other,no importance
22917,judaism but not too serious about it,judaism,not too serious
22918,rather not disclose,rather not disclose,no importance
22919,atheism and very serious about it,atheism,very serious
22920,agnosticism but not too serious about it,agnosticism,not too serious
22921,rather not disclose,rather not disclose,no importance
22922,catholicism but not too serious about it,catholicism,not too serious
22923,rather not disclose,rather not disclose,no importance
22924,rather not disclose,rather not disclose,no importance
22925,other and very serious about it,other,no importance
22926,buddhism and laughing about it,buddhism,laughing
22927,agnosticism,agnosticism,no importance
22928,judaism but not too serious about it,judaism,not too serious
22929,agnosticism and laughing about it,agnosticism,laughing
22930,atheism and somewhat serious about it,atheism,somewhat serious
